,game_date,total_pts,total_min,total_games,season_type,season,league_avg_ppm,days_since_last_game,date_num
0,2013-10-29,605.0,1438.0,3,2,2014,4.2072322670375515,130.0,1
1,2013-10-30,2796.0,6775.0,14,2,2014,4.126937269372694,1.0,2
2,2013-10-31,404.0,960.0,2,2,2014,4.208333333333333,1.0,3
3,2013-11-01,2573.0,6284.0,13,2,2014,4.094525779758116,1.0,4
4,2013-11-02,1562.0,3841.0,8,2,2014,4.066649310075501,1.0,5
5,2013-11-03,1169.0,2890.0,6,2,2014,4.044982698961937,1.0,6
6,2013-11-04,823.0,1924.0,4,2,2014,4.277546777546777,1.0,7
7,2013-11-05,1827.0,4322.0,9,2,2014,4.227209625173531,1.0,8
8,2013-11-06,1939.0,4807.0,10,2,2014,4.033700852922821,1.0,9
9,2013-11-07,612.0,1437.0,3,2,2014,4.258872651356994,1.0,10
10,2013-11-08,2306.0,5805.0,12,2,2014,3.972437553832903,1.0,11
11,2013-11-09,1818.0,4421.0,9,2,2014,4.112191811807283,1.0,12
12,2013-11-10,818.0,1970.0,4,2,2014,4.152284263959391,1.0,13
13,2013-11-11,1790.0,4418.0,9,2,2014,4.051607062019013,1.0,14
14,2013-11-12,832.0,1924.0,4,2,2014,4.324324324324325,1.0,15
15,2013-11-13,2375.0,5807.0,12,2,2014,4.089891510246254,1.0,16
16,2013-11-14,446.0,961.0,2,2,2014,4.640998959417274,1.0,17
17,2013-11-15,2119.0,5334.0,11,2,2014,3.972628421447319,1.0,18
18,2013-11-16,2223.0,5339.0,11,2,2014,4.1637010676156585,1.0,19
19,2013-11-17,624.0,1488.0,3,2,2014,4.193548387096774,1.0,20
20,2013-11-18,1185.0,2880.0,6,2,2014,4.114583333333333,1.0,21
21,2013-11-19,979.0,2395.0,5,2,2014,4.087682672233821,1.0,22
22,2013-11-20,2574.0,6347.0,13,2,2014,4.055459272097053,1.0,23
23,2013-11-21,380.0,961.0,2,2,2014,3.9542143600416235,1.0,24
24,2013-11-22,2129.0,5334.0,11,2,2014,3.9913760779902514,1.0,25
25,2013-11-23,1996.0,4802.0,10,2,2014,4.156601416076635,1.0,26
26,2013-11-24,963.0,2404.0,5,2,2014,4.005823627287853,1.0,27
27,2013-11-25,1725.0,4369.0,9,2,2014,3.9482719157701993,1.0,28
28,2013-11-26,833.0,1920.0,4,2,2014,4.338541666666667,1.0,29
29,2013-11-27,2341.0,5810.0,12,2,2014,4.029259896729776,1.0,30
30,2013-11-29,2546.0,6336.0,13,2,2014,4.01830808080808,2.0,31
31,2013-11-30,1413.0,3367.0,7,2,2014,4.196614196614196,1.0,32
32,2013-12-01,1695.0,3841.0,8,2,2014,4.412913303827128,1.0,33
33,2013-12-02,1059.0,2550.0,5,2,2014,4.152941176470589,1.0,34
34,2013-12-03,1640.0,3941.0,8,2,2014,4.161380360314641,1.0,35
35,2013-12-04,1371.0,3365.0,7,2,2014,4.074294205052006,1.0,36
36,2013-12-05,572.0,1447.0,3,2,2014,3.9530062197650313,1.0,37
37,2013-12-06,2041.0,4848.0,10,2,2014,4.2099834983498345,1.0,38
38,2013-12-07,1718.0,4369.0,9,2,2014,3.932249942778668,1.0,39
39,2013-12-08,990.0,2400.0,5,2,2014,4.125,1.0,40
40,2013-12-09,1139.0,2878.0,6,2,2014,3.957609451007644,1.0,41
41,2013-12-10,1578.0,3839.0,8,2,2014,4.1104454284970044,1.0,42
42,2013-12-11,1755.0,4368.0,9,2,2014,4.017857142857142,1.0,43
43,2013-12-12,410.0,959.0,2,2,2014,4.2752867570385815,1.0,44
44,2013-12-13,2664.0,6288.0,13,2,2014,4.236641221374046,1.0,45
45,2013-12-14,1624.0,3845.0,8,2,2014,4.223667100130039,1.0,46
46,2013-12-15,1213.0,2935.0,6,2,2014,4.132879045996593,1.0,47
47,2013-12-16,1619.0,3836.0,8,2,2014,4.2205422314911365,1.0,48
48,2013-12-17,1000.0,2406.0,5,2,2014,4.156275976724855,1.0,49
49,2013-12-18,2477.0,5912.0,12,2,2014,4.18978349120433,1.0,50
50,2013-12-19,408.0,959.0,2,2,2014,4.254431699687174,1.0,51
51,2013-12-20,1925.0,4472.0,9,2,2014,4.304561717352415,1.0,52
52,2013-12-21,2431.0,5762.0,12,2,2014,4.219021173203749,1.0,53
53,2013-12-22,623.0,1488.0,3,2,2014,4.186827956989247,1.0,54
54,2013-12-23,2272.0,5382.0,11,2,2014,4.2214790040876995,1.0,55
55,2013-12-25,1003.0,2405.0,5,2,2014,4.17047817047817,2.0,56
56,2013-12-26,895.0,2070.0,4,2,2014,4.323671497584541,1.0,57
57,2013-12-27,1782.0,4369.0,9,2,2014,4.078736552986954,1.0,58
58,2013-12-28,2479.0,5815.0,12,2,2014,4.2631126397248496,1.0,59
59,2013-12-29,1057.0,2440.0,5,2,2014,4.331967213114754,1.0,60
60,2013-12-30,1354.0,3364.0,7,2,2014,4.024970273483948,1.0,61
61,2013-12-31,1475.0,3841.0,8,2,2014,3.84014579536579,1.0,62
62,2014-01-01,991.0,2399.0,5,2,2014,4.130887869945811,1.0,63
63,2014-01-02,1803.0,4369.0,9,2,2014,4.126802471961548,1.0,64
64,2014-01-03,1438.0,3363.0,7,2,2014,4.275944097531966,1.0,65
65,2014-01-04,1797.0,4322.0,9,2,2014,4.157797316057381,1.0,66
66,2014-01-05,1402.0,3365.0,7,2,2014,4.166419019316494,1.0,67
67,2014-01-06,580.0,1441.0,3,2,2014,4.02498265093685,1.0,68
68,2014-01-07,2385.0,5815.0,12,2,2014,4.1014617368873605,1.0,69
69,2014-01-08,1826.0,4320.0,9,2,2014,4.226851851851852,1.0,70
70,2014-01-09,383.0,960.0,2,2,2014,3.9895833333333335,1.0,71
71,2014-01-10,2310.0,5861.0,12,2,2014,3.941306944207473,1.0,72
72,2014-01-11,1842.0,4323.0,9,2,2014,4.260929909784871,1.0,73
73,2014-01-12,603.0,1446.0,3,2,2014,4.170124481327801,1.0,74
74,2014-01-13,1401.0,3413.0,7,2,2014,4.1048930559624965,1.0,75
75,2014-01-14,829.0,1921.0,4,2,2014,4.315460697553358,1.0,76
76,2014-01-15,2551.0,5908.0,12,2,2014,4.317874069058903,1.0,77
77,2014-01-16,639.0,1439.0,3,2,2014,4.440583738707436,1.0,78
78,2014-01-17,2466.0,5762.0,12,2,2014,4.279763970843457,1.0,79
79,2014-01-18,1591.0,3886.0,8,2,2014,4.094184251158003,1.0,80
80,2014-01-19,1015.0,2403.0,5,2,2014,4.223886808156471,1.0,81
81,2014-01-20,2057.0,4857.0,10,2,2014,4.235124562487132,1.0,82
82,2014-01-21,992.0,2397.0,5,2,2014,4.138506466416354,1.0,83
83,2014-01-22,2072.0,4846.0,10,2,2014,4.275691291787041,1.0,84
84,2014-01-23,426.0,960.0,2,2,2014,4.4375,1.0,85
85,2014-01-24,2641.0,6292.0,13,2,2014,4.1973935155753335,1.0,86
86,2014-01-25,1622.0,3841.0,8,2,2014,4.222858630564957,1.0,87
87,2014-01-26,1627.0,3840.0,8,2,2014,4.236979166666667,1.0,88
88,2014-01-27,1250.0,2878.0,6,2,2014,4.343293954134816,1.0,89
89,2014-01-28,1316.0,3364.0,7,2,2014,3.912009512485137,1.0,90
90,2014-01-29,1999.0,4806.0,10,2,2014,4.159384103204328,1.0,91
91,2014-01-30,602.0,1442.0,3,2,2014,4.174757281553398,1.0,92
92,2014-01-31,1633.0,3845.0,8,2,2014,4.247074122236671,1.0,93
93,2014-02-01,2349.0,5760.0,12,2,2014,4.078125,1.0,94
94,2014-02-02,185.0,480.0,1,2,2014,3.8541666666666665,1.0,95
95,2014-02-03,2138.0,5293.0,11,2,2014,4.03929718496127,1.0,96
96,2014-02-04,741.0,1925.0,4,2,2014,3.8493506493506495,1.0,97
97,2014-02-05,2578.0,5854.0,12,2,2014,4.403826443457465,1.0,98
98,2014-02-06,381.0,961.0,2,2,2014,3.964620187304891,1.0,99
99,2014-02-07,2071.0,4847.0,10,2,2014,4.27274602847122,1.0,100
100,2014-02-08,1431.0,3359.0,7,2,2014,4.2601964870497175,1.0,101
101,2014-02-09,1494.0,3884.0,8,2,2014,3.8465499485066945,1.0,102
102,2014-02-10,1204.0,2878.0,6,2,2014,4.183460736622655,1.0,103
103,2014-02-11,1345.0,3364.0,7,2,2014,3.998216409036861,1.0,104
104,2014-02-12,2584.0,6299.0,13,2,2014,4.1022384505477065,1.0,105
105,2014-02-13,378.0,961.0,2,2,2014,3.9334027055150886,1.0,106
106,2014-02-16,318.0,480.0,1,2,2014,6.625,3.0,107
107,2014-02-18,1858.0,4372.0,9,2,2014,4.249771271729186,2.0,108
108,2014-02-19,2242.0,5276.0,11,2,2014,4.249431387414708,1.0,109
109,2014-02-20,576.0,1492.0,3,2,2014,3.86058981233244,1.0,110
110,2014-02-21,2058.0,4903.0,10,2,2014,4.1974301448093,1.0,111
111,2014-02-22,1605.0,3846.0,8,2,2014,4.173166926677067,1.0,112
112,2014-02-23,1634.0,3842.0,8,2,2014,4.252993232691307,1.0,113
113,2014-02-24,1099.0,2396.0,5,2,2014,4.586811352253757,1.0,114
114,2014-02-25,1477.0,3358.0,7,2,2014,4.3984514592019055,1.0,115
115,2014-02-26,2045.0,4805.0,10,2,2014,4.255983350676379,1.0,116
116,2014-02-27,851.0,2068.0,4,2,2014,4.115087040618955,1.0,117
117,2014-02-28,1460.0,3360.0,7,2,2014,4.345238095238095,1.0,118
118,2014-03-01,1860.0,4320.0,9,2,2014,4.305555555555555,1.0,119
119,2014-03-02,1441.0,3360.0,7,2,2014,4.288690476190476,1.0,120
120,2014-03-03,1662.0,3840.0,8,2,2014,4.328125,1.0,121
121,2014-03-04,1300.0,2876.0,6,2,2014,4.520166898470097,1.0,122
122,2014-03-05,2020.0,4801.0,10,2,2014,4.207456779837534,1.0,123
123,2014-03-06,684.0,1441.0,3,2,2014,4.7467036780013885,1.0,124
124,2014-03-07,2203.0,5284.0,11,2,2014,4.169190007570023,1.0,125
125,2014-03-08,1271.0,2890.0,6,2,2014,4.397923875432526,1.0,126
126,2014-03-09,1912.0,4468.0,9,2,2014,4.279319606087735,1.0,127
127,2014-03-10,1465.0,3362.0,7,2,2014,4.357525282569899,1.0,128
128,2014-03-11,1383.0,3370.0,7,2,2014,4.103857566765579,1.0,129
129,2014-03-12,2215.0,5277.0,11,2,2014,4.197460678415766,1.0,130
130,2014-03-13,630.0,1442.0,3,2,2014,4.368932038834952,1.0,131
131,2014-03-14,1967.0,4852.0,10,2,2014,4.053998351195384,1.0,132
132,2014-03-15,1170.0,2932.0,6,2,2014,3.990450204638472,1.0,133
133,2014-03-16,1919.0,4373.0,9,2,2014,4.388291790532815,1.0,134
134,2014-03-17,1357.0,3361.0,7,2,2014,4.037488842606367,1.0,135
135,2014-03-18,1082.0,2550.0,5,2,2014,4.243137254901961,1.0,136
136,2014-03-19,2071.0,4847.0,10,2,2014,4.27274602847122,1.0,137
137,2014-03-20,876.0,1918.0,4,2,2014,4.567257559958289,1.0,138
138,2014-03-21,2017.0,4897.0,10,2,2014,4.118848274453748,1.0,139
139,2014-03-22,1553.0,3850.0,8,2,2014,4.033766233766234,1.0,140
140,2014-03-23,1481.0,3412.0,7,2,2014,4.340562719812427,1.0,141
141,2014-03-24,1979.0,4859.0,10,2,2014,4.072854496810043,1.0,142
142,2014-03-25,852.0,1970.0,4,2,2014,4.324873096446701,1.0,143
143,2014-03-26,1947.0,4854.0,10,2,2014,4.011124845488257,1.0,144
144,2014-03-27,828.0,1919.0,4,2,2014,4.314747264200104,1.0,145
145,2014-03-28,2400.0,5805.0,12,2,2014,4.134366925064599,1.0,146
146,2014-03-29,1178.0,2883.0,6,2,2014,4.086021505376344,1.0,147
147,2014-03-30,1581.0,3847.0,8,2,2014,4.10969586690928,1.0,148
148,2014-03-31,1927.0,4802.0,10,2,2014,4.0129112869637655,1.0,149
149,2014-04-01,679.0,1490.0,3,2,2014,4.557046979865772,1.0,150
150,2014-04-02,2673.0,6248.0,13,2,2014,4.278169014084507,1.0,151
151,2014-04-03,420.0,960.0,2,2,2014,4.375,1.0,152
152,2014-04-04,2810.0,6824.0,14,2,2014,4.117819460726847,1.0,153
153,2014-04-05,1188.0,2927.0,6,2,2014,4.0587632388110695,1.0,154
154,2014-04-06,1911.0,4366.0,9,2,2014,4.377004122766834,1.0,155
155,2014-04-08,1225.0,2879.0,6,2,2014,4.254949635290032,2.0,156
156,2014-04-09,2503.0,5810.0,12,2,2014,4.308089500860585,1.0,157
157,2014-04-10,408.0,962.0,2,2,2014,4.241164241164241,1.0,158
158,2014-04-11,2680.0,6248.0,13,2,2014,4.289372599231754,1.0,159
159,2014-04-12,1631.0,3838.0,8,2,2014,4.24960917144346,1.0,160
160,2014-04-13,1433.0,3408.0,7,2,2014,4.20481220657277,1.0,161
161,2014-04-14,2082.0,4802.0,10,2,2014,4.335693461057892,1.0,162
162,2014-04-15,429.0,960.0,2,2,2014,4.46875,1.0,163
163,2014-04-16,3134.0,7403.0,15,2,2014,4.233418884236121,1.0,164
164,2014-04-19,775.0,1920.0,4,3,2014,4.036458333333333,3.0,165
165,2014-04-20,799.0,1972.0,4,3,2014,4.051724137931035,1.0,166
166,2014-04-21,452.0,1011.0,2,3,2014,4.47082096933729,1.0,167
167,2014-04-22,581.0,1489.0,3,3,2014,3.901947615849563,1.0,168
168,2014-04-23,620.0,1438.0,3,3,2014,4.3115438108484,1.0,169
169,2014-04-24,570.0,1487.0,3,3,2014,3.833221250840619,1.0,170
170,2014-04-25,634.0,1491.0,3,3,2014,4.252179745137492,1.0,171
171,2014-04-26,760.0,1969.0,4,3,2014,3.8598273235144744,1.0,172
172,2014-04-27,811.0,1974.0,4,3,2014,4.108409321175278,1.0,173
173,2014-04-28,593.0,1439.0,3,3,2014,4.120917303683113,1.0,174
174,2014-04-29,559.0,1490.0,3,3,2014,3.751677852348993,1.0,175
175,2014-04-30,646.0,1442.0,3,3,2014,4.47988904299584,1.0,176
176,2014-05-01,570.0,1439.0,3,3,2014,3.9610840861709518,1.0,177
177,2014-05-02,601.0,1439.0,3,3,2014,4.176511466296039,1.0,178
178,2014-05-03,648.0,1439.0,3,3,2014,4.503127171646977,1.0,179
179,2014-05-04,422.0,960.0,2,3,2014,4.395833333333333,1.0,180
180,2014-05-05,425.0,963.0,2,3,2014,4.413291796469367,1.0,181
181,2014-05-06,401.0,957.0,2,3,2014,4.1901776384535,1.0,182
182,2014-05-07,381.0,958.0,2,3,2014,3.977035490605428,1.0,183
183,2014-05-08,387.0,963.0,2,3,2014,4.018691588785047,1.0,184
184,2014-05-09,378.0,961.0,2,3,2014,3.9334027055150886,1.0,185
185,2014-05-10,415.0,966.0,2,3,2014,4.296066252587992,1.0,186
186,2014-05-11,387.0,961.0,2,3,2014,4.027055150884496,1.0,187
187,2014-05-12,393.0,961.0,2,3,2014,4.0894901144641,1.0,188
188,2014-05-13,390.0,959.0,2,3,2014,4.066736183524505,1.0,189
189,2014-05-14,376.0,960.0,2,3,2014,3.9166666666666665,1.0,190
190,2014-05-15,375.0,960.0,2,3,2014,3.90625,1.0,191
191,2014-05-18,203.0,486.0,1,3,2014,4.176954732510288,3.0,192
192,2014-05-19,227.0,480.0,1,3,2014,4.729166666666667,1.0,193
193,2014-05-20,170.0,482.0,1,3,2014,3.5269709543568464,1.0,194
194,2014-05-21,189.0,481.0,1,3,2014,3.929313929313929,1.0,195
195,2014-05-24,186.0,481.0,1,3,2014,3.866943866943867,3.0,196
196,2014-05-25,203.0,481.0,1,3,2014,4.22037422037422,1.0,197
197,2014-05-26,192.0,483.0,1,3,2014,3.975155279503106,1.0,198
198,2014-05-27,197.0,480.0,1,3,2014,4.104166666666667,1.0,199
199,2014-05-28,183.0,479.0,1,3,2014,3.8204592901878915,1.0,200
200,2014-05-29,206.0,479.0,1,3,2014,4.30062630480167,1.0,201
201,2014-05-30,209.0,483.0,1,3,2014,4.32712215320911,1.0,202
202,2014-05-31,219.0,530.0,1,3,2014,4.132075471698113,1.0,203
203,2014-06-05,205.0,481.0,1,3,2014,4.261954261954262,5.0,204
204,2014-06-08,194.0,481.0,1,3,2014,4.033264033264033,3.0,205
205,2014-06-10,203.0,481.0,1,3,2014,4.22037422037422,2.0,206
206,2014-06-12,193.0,483.0,1,3,2014,3.995859213250518,2.0,207
207,2014-06-15,191.0,479.0,1,3,2014,3.987473903966597,3.0,208
208,2014-10-28,584.0,1440.0,3,2,2015,4.055555555555555,135.0,1
209,2014-10-29,2387.0,5811.0,12,2,2015,4.10772672517639,1.0,2
210,2014-10-30,981.0,2404.0,5,2,2015,4.080698835274542,1.0,3
211,2014-10-31,1191.0,2931.0,6,2,2015,4.063459570112589,1.0,4
212,2014-11-01,2395.0,5766.0,12,2,2015,4.153659382587582,1.0,5
213,2014-11-02,773.0,1922.0,4,2,2015,4.021852237252862,1.0,6
214,2014-11-03,1226.0,2883.0,6,2,2015,4.252514741588623,1.0,7
215,2014-11-04,1516.0,3836.0,8,2,2015,3.952033368091762,1.0,8
216,2014-11-05,2381.0,5814.0,12,2,2015,4.095287237702099,1.0,9
217,2014-11-06,374.0,957.0,2,2,2015,3.908045977011494,1.0,10
218,2014-11-07,2279.0,5531.0,11,2,2015,4.120412222021334,1.0,11
219,2014-11-08,1564.0,3845.0,8,2,2015,4.067620286085826,1.0,12
220,2014-11-09,1613.0,3847.0,8,2,2015,4.192877566935274,1.0,13
221,2014-11-10,955.0,2402.0,5,2,2015,3.9758534554537888,1.0,14
222,2014-11-11,1195.0,2880.0,6,2,2015,4.149305555555555,1.0,15
223,2014-11-12,1842.0,4323.0,9,2,2015,4.260929909784871,1.0,16
224,2014-11-13,813.0,1919.0,4,2,2015,4.236581552892131,1.0,17
225,2014-11-14,2004.0,4849.0,10,2,2015,4.132810888843061,1.0,18
226,2014-11-15,2031.0,4802.0,10,2,2015,4.229487713452728,1.0,19
227,2014-11-16,762.0,1918.0,4,2,2015,3.97288842544317,1.0,20
228,2014-11-17,1776.0,4320.0,9,2,2015,4.111111111111111,1.0,21
229,2014-11-18,838.0,1916.0,4,2,2015,4.373695198329854,1.0,22
230,2014-11-19,2171.0,5433.0,11,2,2015,3.9959506718203572,1.0,23
231,2014-11-20,394.0,957.0,2,2,2015,4.117032392894462,1.0,24
232,2014-11-21,2443.0,5770.0,12,2,2015,4.233968804159446,1.0,25
233,2014-11-22,1755.0,4329.0,9,2,2015,4.054054054054054,1.0,26
234,2014-11-23,939.0,2446.0,5,2,2015,3.83892068683565,1.0,27
235,2014-11-24,1387.0,3362.0,7,2,2015,4.125520523497918,1.0,28
236,2014-11-25,1014.0,2402.0,5,2,2015,4.221482098251458,1.0,29
237,2014-11-26,2642.0,6302.0,13,2,2015,4.1923198984449375,1.0,30
238,2014-11-28,2445.0,5759.0,12,2,2015,4.24552873762806,2.0,31
239,2014-11-29,1190.0,2886.0,6,2,2015,4.123354123354123,1.0,32
240,2014-11-30,1564.0,3888.0,8,2,2015,4.022633744855967,1.0,33
241,2014-12-01,837.0,1921.0,4,2,2015,4.357105674128058,1.0,34
242,2014-12-02,2147.0,4902.0,10,2,2015,4.37984496124031,1.0,35
243,2014-12-03,2018.0,4899.0,10,2,2015,4.119208001632987,1.0,36
244,2014-12-04,544.0,1442.0,3,2,2015,3.7725381414701804,1.0,37
245,2014-12-05,2431.0,5862.0,12,2,2015,4.14704878880928,1.0,38
246,2014-12-06,1263.0,2932.0,6,2,2015,4.307639836289223,1.0,39
247,2014-12-07,1374.0,3361.0,7,2,2015,4.088069027075275,1.0,40
248,2014-12-08,1504.0,3558.0,7,2,2015,4.227093872962338,1.0,41
249,2014-12-09,1610.0,3842.0,8,2,2015,4.190525767829255,1.0,42
250,2014-12-10,1898.0,4804.0,10,2,2015,3.9508742714404663,1.0,43
251,2014-12-11,419.0,1010.0,2,2,2015,4.148514851485149,1.0,44
252,2014-12-12,2424.0,5913.0,12,2,2015,4.099441907661086,1.0,45
253,2014-12-13,1622.0,3888.0,8,2,2015,4.171810699588478,1.0,46
254,2014-12-14,1361.0,3462.0,7,2,2015,3.931253610629694,1.0,47
255,2014-12-15,1531.0,3843.0,8,2,2015,3.9838667707520163,1.0,48
256,2014-12-16,1213.0,2878.0,6,2,2015,4.2147324530924255,1.0,49
257,2014-12-17,2114.0,4998.0,10,2,2015,4.2296918767507,1.0,50
258,2014-12-18,827.0,1921.0,4,2,2015,4.305049453409683,1.0,51
259,2014-12-19,2081.0,4954.0,10,2,2015,4.200645942672588,1.0,52
260,2014-12-20,1331.0,3361.0,7,2,2015,3.960130913418625,1.0,53
